,LLaMA-7B,,,LLaMA-13B,,,LLaMA-30B,,,LLaMA-65B,,,Opt-6.7B,,,Opt-13B,,,Opt-30B,,,Opt-66B,,,Geomean,,,
,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,Oltron,OliVe,OLAccel,
Static,0.1435,0.2870,0.5166,0.1430,0.2860,0.5184,0.1415,0.2830,0.5193,0.1512,0.3023,0.5427,0.1460,0.2920,0.5202,0.1447,0.2894,0.5214,0.1447,0.2894,0.5216,0.1507,0.3014,0.5432,0.1457,0.2913,0.5254,
Dram,0.0406,0.0784,0.0889,0.0495,0.0963,0.0887,0.0487,0.0950,0.0883,0.0519,0.1013,0.0523,0.0425,0.0823,0.0837,0.0500,0.0973,0.0835,0.0497,0.0970,0.0832,0.0515,0.1008,0.0522,0.0480,0.0936,0.0776,
Buffer,0.1731,0.1765,0.1836,0.1731,0.1771,0.1812,0.1712,0.1752,0.1804,0.1829,0.1871,0.1834,0.1762,0.1798,0.1837,0.1751,0.1791,0.1821,0.1751,0.1792,0.1822,0.1824,0.1866,0.1828,0.1761,0.1801,0.1824,
Core,0.1275,0.2084,0.2109,0.1271,0.2076,0.2117,0.1257,0.2054,0.2120,0.1343,0.2195,0.2216,0.1297,0.2120,0.2124,0.1285,0.2100,0.2129,0.1286,0.2101,0.2130,0.1339,0.2188,0.2218,0.1294,0.2115,0.2145,

